Resource,Count
ID_3,267
ID_14,267
ID_16,260
ID_24,257
SIREWITOGOCEKASIKIROJEZOSIPI,69
ADPYUDQM,69
PEJEPAZOXINUREWIPIFOCE,69
JUCUYIPOTAMADESIRIDIGEXALOWOSO,69
KUPOHISAREJEMAVANAXEJUJATUDI,52
LADUMUJODOYUZIPEBUJONEYE,52
NOBAXUHORE,52
NUGANASIHEJIPESOWIWAXADEGAWA,45
OEJ,44
TEMETIFIXU,44
YQTCVJGVNP,43
TOKAWUDEJEBA,32
QEBHOVQ,31
OAQPGAFC,19
ETOELNXVNG,14
ID_2,13
HPT,10
ID_6,9
ID_5,6
ID_1,6
ID_12,6
WATE,5
PKXXOKUNL,5
JOKJQTUCI,4
EEEHQJD,4
YEJEBOMASITARAGIYEMUGELU,3
WOTOZOPEVOTAPAXUDAPAPEJEMO,3
CI,3
KEJIJITUBOMAXAGIKIKUTA,3
XUHJJ,3
WUYALUXORIJOTAJI,3
LKMW,3
BINUPUDISUVE,3
ID_9,3
NASINOHU,2
KICUWUCELUKULASUSIJEMOYUKAYO,2
WIZOFAFEKIJUDAHORUPINAXA,1
JOHAGOBEGIXETAMARABOCA,1
HIYCOQQDYH,1
WUTTLJK,1
OVN,1
KOXOXOSE,1
JAYEKAZIBESEWUGUSAKELACU,1
MUXIVOJIKELA,1
USCUKC,1
MELUXISUTORUTICIBABOSUKO,1
JUKIMIMEGADEKONULUVUFOCUJI,1
ANVA,1
YAN,1
UUQU,1
FWVSD,1
JAYIJUYESEWONAYO,1
MNQDAOHWEI,1
YTSICVXB,1
ROMOXOSATO,1
GQACL,1
UUPP,1
CYTB,1
THPS,1
LAYOKALIRETIPA,1
ID_4,1
GTXU,1
STFJS,1
VONA,1
WKIJMD,1
WOVFU,1
